,Unnamed: 0,deterministic,surrogate_1,surrogate_0,surrogate_2
67,67,197357.0753307393,196922.63835363055,194449.0160675265,196632.83164742964
68,68,206625.9212253783,205727.8371914193,204240.6667425316,206487.49315925385
69,69,211665.53915917,210666.01507999105,209615.86911212615,211913.39945111168
70,70,211049.07043842992,209885.2548366018,209001.55160625948,211288.65432047375
71,71,207122.93239079797,206202.98270974908,204797.99319127057,207051.2050953618
72,72,208052.1662225376,207295.35738191777,205522.57184871257,207747.90360644637
73,73,216455.8681428504,214996.0401791045,214855.97229484463,217202.36945757503
74,74,208522.0625187081,207286.20618998367,206600.5104319186,208905.42886505925
75,75,209257.8654199264,208189.12096868647,207109.12106485345,209382.59938925988
76,76,194151.06350873676,194101.1980553385,190702.5402059496,192813.49781413825
77,77,200119.40414852108,200080.1458075521,196798.30103087128,198929.5145063748
78,78,236166.1928024443,242622.0114577548,246522.84806326067,235999.284548716
79,79,209998.3405446107,209330.70923306013,207332.85216817708,209533.7675830802
80,80,217313.61787915212,215638.0980173053,216087.0724323595,218486.00569062756
81,81,207179.72189177788,206478.54632103653,204560.4877608852,206773.6095865736
82,82,204985.4060989104,203583.3726468589,203370.32966513617,205730.0810245725
83,83,208410.11978518896,207810.40767954357,205798.74416091677,208017.1506948469
84,84,212013.28871576968,210893.71408982223,209988.44966084824,212286.6315387843
85,85,223662.0599061996,221656.11799049773,222758.69347770288,225194.8636454112
86,86,230483.96622148325,234422.13202408503,240975.45384845271,231636.64971470903
87,87,215123.66940272905,214706.5938604521,197264.3065199605,214323.31893801264
88,88,212635.5717580952,211661.31824694003,210384.0685120416,212639.77939717827
89,89,200024.90699572588,199555.5454379147,433994.68171064585,199475.24403034727
90,90,211385.84300516223,210392.60462470667,209196.6336615199,211460.6467487667
91,91,211799.19114705865,210878.61057391943,209483.69906639337,211729.8125854093
92,92,206957.63216176935,206249.29699106156,204481.9626943343,206721.84411677884
93,93,210909.7684110407,209655.2763152324,208997.02431401183,211300.3629914561
94,94,211403.70002729556,210282.56409255805,209346.06339471476,211633.82459222825
95,95,205960.0651020943,205204.69342842695,203435.45406695685,205662.3869513181
96,96,207346.68686830223,206486.7373997376,204979.8112174823,207229.92528254303
97,97,194027.1949664685,193777.5826875282,190923.85434676177,193091.2038184651
98,98,312810.31339277094,315067.2234127241,331180.6294329484,317319.2976875268
99,99,217444.85125673685,215836.51346412904,216038.72246604343,218409.3241940171
100,100,214559.69613393536,213562.86124476156,212479.6385505647,214765.55498916924
101,101,205197.8512030798,204390.0458731159,202707.64128685064,204941.18171425693
102,102,213174.79654171327,211766.75006109936,211475.78460969843,213811.6415967981
103,103,220119.86462056823,218540.4399052158,218685.29930842307,221047.39283717927
104,104,206244.08658400897,205636.53757476283,203481.45976199355,205667.5907698232
105,105,194454.3955793319,194489.86617823195,190885.37173483917,192981.2398318849
106,106,213495.106680068,211791.49354578013,212178.310711876,214560.19082472395
107,107,208147.97518035796,206884.774743678,206312.24520038732,208636.7960648807
108,108,197672.31236090665,197349.56396617225,194634.57484836085,196801.73807863705
109,109,218458.77011708164,216976.01564845289,216881.8883149636,219231.35419365895
110,110,322130.248019694,320254.78924639465,331296.51590848574,332520.66424133943
